name,description
Amylon LLC,"Amylon LLC’s mission is to finance, develop and commercialize APH-1104 for mild to moderate Alzheimer’s disease and other CNS disorders."
Sports LearningEdge LLC,SLE invented and is deploying a revolutionary mobile technology to help millions of kids worldwide acquire the basic sports skills needed to play and have fun.
Singledin,The Linkedin of online and mobile dating.
"Dark Bond, Inc.",We want to re-invent the investment Banking Industry using Distributed Ledger Technology and Smart Contracts.
SparkCharge,"Creating an efficient world of transportation by solving the range anxiety problem with our ultrafast, portable, and modular charging station for electric cars."
Kaymbu,Instagram for educators -- document and share anything to capture the essence of student development and strengthen relationships between home and school.
Cashtivity Play,"Cashtivity teaches math through gamified real world challenges, no more boredom & frustration, math is now a fun, creative experience which students relate to."
"Cre8MDI, LLC",Early prediction of cardiovascular disease by primary assessment of arterial stiffness by pulse wave velocity.
Beantown Bedding,Beantown Bedding's Laundry-Free Linens® are 100% compostable and are the first and only eco-friendly disposable bed sheets.
Foodini POS,"The simple act of paying positive attention to people, has a great deal to do with productivity"
FwdForce,"Crowdfunded product challenges - propose, fund, or compete to solve problems with proven market demand - backed and vetted by the crowd, tested by pros"
GreenSight Agronomics,"We are the brains behind precision agriculture.  Our integrated drone, sensor, and AI platform delivers automatic daily actionable intelligence."
Panion Tech AB,Use common interests to find uncommon friends.
CueThink,CueThink makes math social through an engaging peer-to-peer platform that is proven to drive critical thinking skills. Funded by National Science Foundation.
ingollow,"Travel the ins and outs of where you are, and what you want to do, just like a local would do while earning points and rewards."
"Talkler Labs, LLC","TALKLER - Email for your Ears: The mobile platform for truly heads-up, reads-aloud-to-you, voice-controlled productivity—starting w/ email."
PeopleHedge,"Everyone pays too much for FX.  With PeopleHedge, you can save 80% using our secure, online platform."
MageMail,Get Your Customers Coming Back With the Triggered Email App
Foodini POS,"The simple act of paying positive attention to people, has a great deal to do with productivity"
ClassroomWindow,"ClassroomWindow is Yelp + Consumer Reports for education products and services, a $25b market."
"NextShift Robotics, Inc.",NextShift Robotics increases the productivity and dramatically lowers the cost   of e­commerce order fulfillment and cellular manufacturing processes.
Spoiler Alert,Boston-based enterprise software company that helps food businesses manage unsold inventory
"New View Surgical, Inc.","A surgical visualization company that is developing the VisionPort, a camera platform technology that makes surgery simpler, safer and more cost-effective."
Achvr,Achvr's social platform helps people live happier lives through first time experiences by capturing  intention data to connect people with experience providers.
AndrosRobotics,"Long-Reach collaborative robotic arms for warehouse automation. Revolutionary safe, low-cost actuators that power these arms and other service robots."
Swalloo,"Complete food ordering system for restaurants and users. Food app, portal and table reservations."
Twiage,Twiage sends powerful data between ambulances and hospital teams to accelerate life-saving emergency care.
INFINITE STORES,Infinite Stores is a Virtual Reality Shopping Experience made for people who like to shop and built by Etsy sellers who want to expand their audience.
"Proteg-GO, LLC",Turn your smartphone into a personal emergency response center. Proteg-GO alerts family/friends & authorities you need help & where you are.
"Dark Bond, Inc.",We want to re-invent the investment Banking Industry using Distributed Ledger Technology and Smart Contracts.
Unruly Studios,We challenge kids to make their own rules for creative play using the problem solving process to code physical objects that interact with the world.
"Vascular Access Technologies, Inc","SAFECAD, The world's first patented retrograde Central Venous Access Device targets a $1.5 B Market, eliminates complications, saves lives, and reduces costs"
Genomic Expression Inc,We help the doctor find the right drug for the patient and the pharma company find the right patient for their drug
Angel Creative Solutions for Healthcare,Innovative digital health products and solutions
SociableNow,What do you do when to conversation needs to go beyond just text?
BeautyLynk,BeautyLynk is a two-sided marketplace that connects customers and beauty professionals for services.
Cocomama Foods,Cocomama uses unique ingredients and form factors to make innovative natural foods that meet growing market needs and trends.
BioTrak Therapeutics,"Boston/New York/Denver--Empowering people suffering from frequently recurring headaches & migraines with clinically-demonstrated, app-based behavioral therapy."
Medumo,"We help healthcare organization deliver the right instructions to the right patients at the right time to increase patient engagement, satisfaction and outcome."
BrainStem Biometrics,We are launching a breakthrough sedation assessment system in the US hospital market to reduce ICU costs and improve patient safety.
"The Coaching Connector, Inc. (TCC)",TCC introduces the public to coaching and enables them to find the perfect coach. It delivers coaches a strong referral source and tools for profitability.
tessolar inc.,"Integrated solar PV installation hardware dramatically reduces installed cost, for up to 35% lower cost of solar power."
Magurobotics LLC (Zombait),Revive global sportfishing with technology.
Terrafugia,Terrafugia is turning the dream of a practical flying car into reality.  We are creating the transportation of the future today.
CompanyWide,CompanyWide is an online platform for construction industry career planning and hiring.
Bow & Drape,Bow & Drape is an online clothing brand that allows women to create their own fashion.
Airmada Inc.,Airmada lease ground stations that automate commercial drone operations.
Converge Software,Automate. Comply. Prosper.
InsuranceMenu,Making insurance easy for 70M Americans who buy for themselves or through a small business.
Seacoast Sweets,"Handmade chocolate company + lifestyle brand from Newburyport, MA - original family recipe, portion of proceeds donated to local Boston charity. @seacoastsweets"
Aquadat,Aquadat  makes water information actionable &  accessible to companies at the time it matters.
"Sober Grid, Inc.","Sober Grid is an app that provides on-demand peer support to help people in recovery from drug and alcohol addiction get, and remain, clean and sober."
InsuranceMenu,Making insurance easy for 70M Americans who buy for themselves or through a small business.
"Baraka Networks, PBC",Data-driven global health impact investing platform connecting investors to health innovators addressing major health system priorities at the BoP.
Gellért Health,Gellért Health has introduced the next generation of over-the-counter joint care that is becoming a mainstay on pharmacy shelves
"HomeBinder.com, Inc.","HomeBinder is working to solve the ""electronic health records"" for the home problem (data beyond the MLS)."
Pupilize  Corporation,"This is the only All  in one convenient unique portable music app of features  that will change the way we want to hear,see,share,sing our music on&offline"
